index,xmin,ymin,xmax,ymax,order
2,83.0,86.0,751.0,1090.0,0
3,906.0,95.0,1575.0,576.0,0
3,1167.0,588.0,1580.0,1090.0,1
3,899.0,585.0,1170.0,1085.0,2
3,2.0,0.0,826.0,513.0,3
3,72.0,516.0,743.0,1101.0,4
4,908.0,6.0,1576.0,472.0,0
4,908.0,490.0,1576.0,674.0,1
4,830.0,693.0,1653.0,1096.0,2
4,73.0,98.0,739.0,582.0,3
4,449.0,593.0,739.0,1092.0,4
4,71.0,596.0,433.0,854.0,5
4,73.0,875.0,435.0,1095.0,6
5,828.0,0.0,1653.0,607.0,0
5,915.0,568.0,1581.0,1099.0,1
5,86.0,91.0,749.0,428.0,2
5,86.0,447.0,749.0,690.0,3
5,1.0,703.0,829.0,1096.0,4
6,1289.0,96.0,1567.0,537.0,0
6,902.0,94.0,1281.0,312.0,1
6,832.0,315.0,1283.0,537.0,2
6,904.0,553.0,1567.0,1094.0,3
6,333.0,0.0,819.0,448.0,4
6,90.0,98.0,319.0,448.0,5
6,88.0,465.0,754.0,647.0,6
6,2.0,672.0,819.0,1097.0,7
7,1385.0,96.0,1565.0,501.0,0
7,901.0,93.0,1382.0,500.0,1
7,901.0,519.0,1567.0,1169.0,2
7,435.0,98.0,747.0,361.0,3
7,53.0,6.0,419.0,361.0,4
7,5.0,361.0,819.0,1169.0,5
8,1254.0,96.0,1571.0,428.0,0
8,908.0,100.0,1243.0,428.0,1
8,832.0,429.0,1653.0,651.0,2
8,908.0,649.0,1571.0,1092.0,3
8,444.0,98.0,750.0,381.0,4
8,444.0,361.0,747.0,563.0,5
8,84.0,100.0,432.0,561.0,6
8,5.0,582.0,825.0,1101.0,7
8,5.0,582.0,825.0,1101.0,7
8,5.0,582.0,825.0,1101.0,7
9,832.0,1.0,1651.0,455.0,0
9,897.0,471.0,1565.0,623.0,1
9,834.0,640.0,1653.0,1101.0,2
9,476.0,100.0,752.0,412.0,3
9,89.0,100.0,464.0,417.0,4
9,3.0,433.0,819.0,689.0,5
9,566.0,714.0,750.0,1098.0,6
9,431.0,712.0,597.0,1098.0,7
9,278.0,712.0,428.0,1098.0,8
9,86.0,710.0,297.0,1096.0,9
10,1098.0,1.0,1653.0,502.0,0
10,901.0,100.0,1092.0,502.0,1
10,834.0,505.0,1648.0,745.0,2
10,1214.0,746.0,1565.0,1096.0,3
10,897.0,750.0,1216.0,1169.0,4
10,489.0,3.0,745.0,360.0,5
10,341.0,96.0,485.0,354.0,6
10,82.0,96.0,340.0,356.0,7
10,1.0,372.0,817.0,720.0,8
10,80.0,721.0,748.0,1098.0,9
11,1314.0,102.0,1571.0,411.0,0
11,911.0,104.0,1299.0,415.0,1
11,908.0,435.0,1569.0,761.0,2
11,910.0,784.0,1571.0,1095.0,3
11,78.0,88.0,739.0,1085.0,4
12,834.0,1.0,1651.0,567.0,0
12,908.0,586.0,1574.0,774.0,1
12,904.0,789.0,1574.0,1087.0,2
12,84.0,96.0,750.0,428.0,3
12,0.0,447.0,821.0,741.0,4
12,354.0,761.0,747.0,1089.0,5
12,82.0,759.0,343.0,1089.0,6
13,906.0,90.0,1571.0,516.0,0
13,1270.0,535.0,1569.0,816.0,1
13,1268.0,838.0,1570.0,1089.0,2
13,906.0,538.0,1256.0,1087.0,3
13,519.0,90.0,744.0,369.0,4
13,77.0,91.0,507.0,376.0,5
13,3.0,384.0,822.0,591.0,6
13,82.0,594.0,741.0,1090.0,7
14,1249.0,92.0,1579.0,415.0,0
14,909.0,82.0,1239.0,422.0,1
14,824.0,418.0,1651.0,669.0,2
14,1287.0,679.0,1577.0,1089.0,3
14,908.0,684.0,1286.0,1094.0,4
14,88.0,91.0,754.0,368.0,5
14,2.0,369.0,822.0,777.0,6
14,423.0,787.0,753.0,1096.0,7
14,86.0,785.0,416.0,1092.0,8
15,899.0,89.0,1572.0,279.0,0
15,824.0,292.0,1647.0,809.0,1
15,899.0,815.0,1570.0,1090.0,2
15,70.0,94.0,760.0,506.0,3
15,427.0,514.0,757.0,1101.0,4
15,86.0,518.0,416.0,802.0,5
15,88.0,803.0,418.0,1101.0,6
16,823.0,0.0,1653.0,685.0,0
16,906.0,689.0,1577.0,1169.0,1
16,906.0,689.0,1577.0,1169.0,1
16,413.0,0.0,743.0,1105.0,2
16,81.0,96.0,492.0,483.0,3
16,77.0,493.0,589.0,1106.0,4
17,908.0,6.0,1574.0,498.0,0
17,895.0,512.0,1579.0,743.0,1
17,812.0,675.0,1653.0,1095.0,2
17,532.0,100.0,759.0,552.0,3
